City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tubigan,PH,78.98,broken clouds,8.5322,124.3122,MOONBAY White Beach Resort Co.
1,Cabo San Lucas,MX,77.31,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
2,Bambanglipuro,ID,76.06,overcast clouds,-7.95,110.2833,Puri Brata
3,Butaritari,KI,82.04,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
4,Atuona,PF,78.42,scattered clouds,-9.8,-139.0333,Villa Enata
5,Rikitea,PF,75.97,few clouds,-23.1203,-134.9692,People ThankYou
6,Arraial Do Cabo,BR,84.06,few clouds,-22.9661,-42.0278,Pousada Porto Praia
7,Sorong,ID,78.35,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
8,Qui Nhon,VN,76.59,moderate rain,13.7667,109.2333,Hoang Yen Canary Hotel
9,Castro,BR,75.33,clear sky,-24.7911,-50.0119,CHACARA BAILLY
10,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
11,Kapaa,US,80.92,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Meulaboh,ID,76.3,overcast clouds,4.1363,96.1285,Kost Pria
13,Lompoc,US,79.11,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
14,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
15,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
16,Bambous Virieux,MU,75.45,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
17,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
19,Kauswagan,PH,78.3,overcast clouds,8.1917,124.0847,lola patring
20,Hithadhoo,MV,81.79,scattered clouds,-0.6,73.0833,Scoop Guest House
21,Faanui,PF,81.45,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
22,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
23,Takoradi,GH,79.79,overcast clouds,4.8845,-1.7554,Raybow International Hotel
24,Bontang,ID,77.85,heavy intensity rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
25,Bilma,NE,76.53,few clouds,18.6853,12.9164,Expeditions Ténére voyages
26,Namatanai,PG,80.62,light rain,-3.6667,152.4333,Seagulls Inn Namatani
27,Ode,NG,77.36,overcast clouds,7.7899,5.7117,OWONIDADDY HOTEL AND SUITES
28,Georgetown,MY,78.75,few clouds,5.4112,100.3354,Cititel Penang
29,Cockburn Town,TC,79.02,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
30,Bengkulu,ID,76.1,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
31,Dhidhdhoo,MV,80.96,overcast clouds,6.8833,73.1,Dhidhoo beach
32,Ixtapa,MX,84.52,broken clouds,20.7,-105.2,Hotel Plaza Providencia
33,Sinnamary,GF,79.27,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
34,Kudahuvadhoo,MV,81.36,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
35,Karratha,AU,82.54,clear sky,-20.7377,116.8463,ibis Styles Karratha
36,Valparaiso,CL,75.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
37,Salalah,OM,76.41,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
38,Mahebourg,MU,75.49,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
39,Ormara,PK,76.46,few clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
40,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
