City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-11-25 22:41,-46.1927,168.8643,56.26,81,100,3.27
1,Bluff,NZ,2021-11-25 22:41,-46.6,168.3333,50.68,91,100,13.15
2,Wodonga,AU,2021-11-25 22:41,-36.1167,146.8833,64.26,83,90,11.01
3,Zyryanovsk,KZ,2021-11-25 22:41,49.7386,84.2719,32.97,99,100,7.99
4,Porto Novo,BJ,2021-11-25 22:41,6.4965,2.6036,84.02,83,9,6.89
5,Verkhniye Kigi,RU,2021-11-25 22:41,55.4083,58.6044,19.4,93,100,10.36
6,Rikitea,PF,2021-11-25 22:41,-23.1203,-134.9692,76.57,75,8,10.76
7,Puerto Ayora,EC,2021-11-25 22:41,-0.7393,-90.3518,78.76,87,69,10
8,Lisakovsk,KZ,2021-11-25 22:41,52.5369,62.4936,16.38,90,94,12.91
9,Port Hardy,CA,2021-11-25 22:41,50.6996,-127.4199,46.58,100,90,8.05
10,Dikson,RU,2021-11-25 22:41,73.5069,80.5464,-3.42,95,100,3.09
11,Butaritari,KI,2021-11-25 22:41,3.0707,172.7902,82.72,72,89,16.46
12,Albany,US,2021-11-25 22:40,42.6001,-73.9662,41.74,68,100,1.95
13,Aklavik,CA,2021-11-25 22:41,68.2191,-135.0107,-5.8,77,90,10.36
14,Port Alfred,ZA,2021-11-25 22:41,-33.5906,26.891,64.22,73,100,22.5
15,Hasaki,JP,2021-11-25 22:39,35.7333,140.8333,43.2,56,0,5.06
16,Khatanga,RU,2021-11-25 22:41,71.9667,102.5,-12.95,99,99,3.62
17,New Norfolk,AU,2021-11-25 22:41,-42.7826,147.0587,55.71,51,25,1.99
18,Cherskiy,RU,2021-11-25 22:41,68.75,161.3,-26.63,100,100,4.07
19,Busselton,AU,2021-11-25 22:41,-33.65,115.3333,60.04,64,86,11.61
20,Atuona,PF,2021-11-25 22:41,-9.8,-139.0333,78.35,79,12,17.52
21,Jalu,LY,2021-11-25 22:41,29.0331,21.5482,69.67,28,1,13.11
22,Bafq,IR,2021-11-25 22:41,31.6128,55.4107,55.06,43,2,0.76
23,Sao Jose Da Coroa Grande,BR,2021-11-25 22:39,-8.8978,-35.1478,79,81,11,9.62
24,Padang,ID,2021-11-25 22:41,-0.9492,100.3543,77.56,83,68,4.54
25,Iqaluit,CA,2021-11-25 22:37,63.7506,-68.5145,24.53,68,40,9.22
26,Ginir,ET,2021-11-25 22:41,7.1333,40.7,57.11,41,22,5.93
27,Tuktoyaktuk,CA,2021-11-25 22:41,69.4541,-133.0374,-0.4,78,40,16.11
28,Husavik,IS,2021-11-25 22:41,66.0449,-17.3389,30.11,92,98,25.32
29,Klaksvik,FO,2021-11-25 22:42,62.2266,-6.589,40.12,71,85,38.12
30,Gmunden,AT,2021-11-25 22:42,47.9189,13.7975,34.29,75,87,1.68
31,Barrow,US,2021-11-25 22:42,71.2906,-156.7887,-9.38,70,20,11.5
32,Torbay,CA,2021-11-25 22:42,47.6666,-52.7314,51.28,99,90,16.11
33,Cape Town,ZA,2021-11-25 22:40,-33.9258,18.4232,67.1,57,0,16.11
34,Muros,ES,2021-11-25 22:42,42.7762,-9.0603,51.24,89,21,17.22
35,Hermanus,ZA,2021-11-25 22:42,-34.4187,19.2345,62.8,74,1,26.51
36,Djenne,ML,2021-11-25 22:42,13.9061,-4.5533,81.19,21,1,7.9
37,Banda Aceh,ID,2021-11-25 22:42,5.5577,95.3222,77.36,85,100,3.15
38,Kloulklubed,PW,2021-11-25 22:42,7.0419,134.2556,79.3,78,85,16.67
39,El Tigre,VE,2021-11-25 22:42,8.8875,-64.2454,82.81,59,99,6.91
40,Castro,BR,2021-11-25 22:42,-24.7911,-50.0119,70.39,61,86,3.29
